04/04/2023 17:30:41 root   INFO     Training for a total of 100 epochs
04/04/2023 17:30:41 root   INFO     Weights are saved to /home/gabinlembrez/GitHub/torque-tracking-ML/exps/multivariate_v1/ after every 50 epochs
04/04/2023 17:30:41 root   INFO     Dataset path: /home/gabinlembrez/GitHub/torque-tracking-ML/data
04/04/2023 17:30:41 root   INFO     Random Seed: 0
04/04/2023 17:30:43 root   INFO     Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.0001
    maximize: False
    weight_decay: 0
)
04/04/2023 17:30:45 root   INFO     train data: 945 batches of batch size 64
04/04/2023 17:38:37 root   INFO     iters: 71 train_loss: 0.205884 valid_loss: 0.141778 lr: 0.000092
04/04/2023 17:38:44 root   INFO     iters: 72 train_loss: 0.205259 valid_loss: 0.141196 lr: 0.000092
04/04/2023 17:38:50 root   INFO     iters: 73 train_loss: 0.204643 valid_loss: 0.140951 lr: 0.000092
04/04/2023 17:38:57 root   INFO     iters: 74 train_loss: 0.203963 valid_loss: 0.139602 lr: 0.000092
04/04/2023 17:39:03 root   INFO     iters: 75 train_loss: 0.203301 valid_loss: 0.139785 lr: 0.000092
04/04/2023 17:39:10 root   INFO     iters: 76 train_loss: 0.202540 valid_loss: 0.138162 lr: 0.000092
04/04/2023 17:39:17 root   INFO     iters: 77 train_loss: 0.201931 valid_loss: 0.136766 lr: 0.000092
04/04/2023 17:39:23 root   INFO     iters: 78 train_loss: 0.200920 valid_loss: 0.137250 lr: 0.000092
04/04/2023 17:39:30 root   INFO     iters: 79 train_loss: 0.200895 valid_loss: 0.139205 lr: 0.000092
04/04/2023 17:39:36 root   INFO     iters: 80 train_loss: 0.200275 valid_loss: 0.136894 lr: 0.000092
04/04/2023 17:39:43 root   INFO     iters: 81 train_loss: 0.199585 valid_loss: 0.137152 lr: 0.000091
04/04/2023 17:39:49 root   INFO     iters: 82 train_loss: 0.198945 valid_loss: 0.137024 lr: 0.000091
04/04/2023 17:39:56 root   INFO     iters: 83 train_loss: 0.198143 valid_loss: 0.134334 lr: 0.000091
04/04/2023 17:40:03 root   INFO     iters: 84 train_loss: 0.197792 valid_loss: 0.133724 lr: 0.000091
04/04/2023 17:40:09 root   INFO     iters: 85 train_loss: 0.197749 valid_loss: 0.136734 lr: 0.000091
04/04/2023 17:40:16 root   INFO     iters: 86 train_loss: 0.196782 valid_loss: 0.132161 lr: 0.000091
04/04/2023 17:40:22 root   INFO     iters: 87 train_loss: 0.196055 valid_loss: 0.132285 lr: 0.000091
04/04/2023 17:40:29 root   INFO     iters: 88 train_loss: 0.195645 valid_loss: 0.131747 lr: 0.000091
04/04/2023 17:40:35 root   INFO     iters: 89 train_loss: 0.195592 valid_loss: 0.133017 lr: 0.000091
04/04/2023 17:40:42 root   INFO     iters: 90 train_loss: 0.194617 valid_loss: 0.131904 lr: 0.000091
04/04/2023 17:40:49 root   INFO     iters: 91 train_loss: 0.194490 valid_loss: 0.133382 lr: 0.000090
04/04/2023 17:40:55 root   INFO     iters: 92 train_loss: 0.193877 valid_loss: 0.131711 lr: 0.000090
04/04/2023 17:41:02 root   INFO     iters: 93 train_loss: 0.193063 valid_loss: 0.128520 lr: 0.000090
04/04/2023 17:41:08 root   INFO     iters: 94 train_loss: 0.192598 valid_loss: 0.134586 lr: 0.000090
04/04/2023 17:41:15 root   INFO     iters: 95 train_loss: 0.192620 valid_loss: 0.126941 lr: 0.000090
04/04/2023 17:41:21 root   INFO     iters: 96 train_loss: 0.192316 valid_loss: 0.126485 lr: 0.000090
04/04/2023 17:41:28 root   INFO     iters: 97 train_loss: 0.191086 valid_loss: 0.127300 lr: 0.000090
04/04/2023 17:41:34 root   INFO     iters: 98 train_loss: 0.191160 valid_loss: 0.125690 lr: 0.000090
04/04/2023 17:41:41 root   INFO     iters: 99 train_loss: 0.190745 valid_loss: 0.125834 lr: 0.000090
